id,target
0,0
2,1
3,1
9,0
11,0
12,1
21,0
22,0
27,0
29,1
30,0
35,0
42,0
43,0
45,0
46,0
47,0
51,0
58,1
60,0
69,0
70,0
72,0
75,0
84,0
87,0
88,0
90,1
94,1
99,1
101,1
103,0
106,1
108,0
111,0
115,1
116,0
122,0
123,0
124,1
125,1
127,1
140,0
142,1
147,1
148,0
150,0
152,1
154,1
155,1
166,0
167,0
169,1
177,1
179,0
181,0
186,0
188,1
189,0
192,0
200,1
202,1
206,0
207,0
214,0
217,1
223,1
224,1
227,0
228,1
230,0
233,0
234,1
236,1
239,1
250,1
255,0
257,0
259,1
275,1
278,0
282,0
284,1
286,0
288,1
292,0
295,0
300,0
304,0
305,0
306,0
308,1
311,0
317,0
319,1
323,1
324,1
325,0
326,1
333,1
339,1
342,1
343,1
350,0
351,1
357,0
359,1
362,1
366,0
367,1
369,1
373,1
374,0
376,0
377,1
378,1
379,1
382,1
385,1
387,0
388,1
391,1
392,1
395,1
399,0
400,0
403,0
405,0
408,1
411,0
414,0
416,0
417,0
422,0
425,1
428,0
430,1
431,0
433,0
434,0
439,0
441,0
449,0
458,0
460,0
464,0
473,0
488,1
491,0
494,0
497,0
500,1
505,1
507,1
508,1
510,1
511,1
515,0
525,0
529,1
532,1
534,1
537,1
539,0
541,1
545,0
547,0
548,1
549,0
553,0
554,0
555,0
557,0
562,0
566,0
572,1
573,0
582,0
586,0
587,0
590,1
591,0
593,0
595,0
596,1
597,1
601,0
602,0
605,1
610,1
616,1
618,1
620,1
626,1
627,0
629,0
632,1
634,1
639,1
645,1
647,0
648,0
650,0
663,0
666,0
668,1
670,1
673,0
676,0
678,1
692,0
693,0
694,0
695,1
696,0
698,1
701,1
703,1
707,1
708,0
711,1
715,1
718,0
722,1
723,0
733,1
741,0
742,1
743,1
747,0
749,0
750,1
756,1
757,0
760,1
764,0
765,0
766,1
768,0
769,0
771,0
772,1
776,0
778,1
780,1
785,0
789,0
792,0
793,0
811,1
813,0
816,1
821,0
824,0
825,1
827,1
830,1
831,1
839,1
844,0
847,1
850,0
854,1
855,0
858,1
861,1
862,0
865,0
869,1
879,1
880,0
887,0
889,0
897,1
900,0
901,0
904,0
908,1
909,1
910,0
913,0
914,1
917,0
918,0
920,1
922,0
924,0
925,0
927,0
933,0
937,1
943,1
949,0
950,1
954,0
966,0
967,0
969,0
970,0
973,0
975,1
980,0
988,0
989,1
995,1
1000,0
1003,0
1007,0
1011,0
1012,1
1013,1
1014,1
1016,1
1019,0
1025,0
1027,0
1028,0
1030,1
1033,0
1034,1
1039,1
1046,0
1047,1
1053,0
1055,0
1056,0
1059,1
1060,0
1063,0
1064,0
1068,0
1076,0
1086,0
1087,1
1089,1
1092,1
1095,1
1096,1
1097,1
1100,1
1101,1
1107,0
1108,0
1111,1
1115,1
1116,0
1121,1
1125,0
1127,1
1131,0
1133,1
1135,0
1137,1
1140,1
1144,0
1147,0
1148,1
1150,1
1158,1
1159,0
1161,1
1163,0
1165,0
1169,0
1171,0
1172,1
1176,0
1180,0
1184,0
1186,0
1187,0
1192,1
1193,1
1194,0
1197,1
1200,0
1205,0
1210,1
1216,0
1220,0
1231,1
1233,0
1246,1
1247,0
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,0
1266,0
1268,0
1274,1
1281,0
1285,1
1286,0
1291,0
1292,0
1295,0
1299,0
1306,0
1310,0
1311,0
1313,0
1314,1
1322,0
1323,0
1325,1
1329,0
1330,1
1333,0
1336,1
1339,1
1342,0
1344,0
1355,1
1357,1
1358,0
1359,1
1364,1
1366,0
1367,1
1370,0
1373,1
1377,0
1386,1
1387,1
1392,1
1397,1
1398,0
1400,1
1403,1
1404,0
1410,1
1413,0
1416,1
1417,1
1423,1
1424,1
1426,1
1427,1
1428,1
1430,1
1434,0
1435,1
1437,1
1438,0
1442,1
1446,1
1451,0
1457,1
1461,0
1462,0
1465,0
1468,0
1469,1
1471,1
1476,1
1478,1
1481,0
1489,0
1490,0
1492,0
1496,1
1512,0
1516,1
1517,1
1528,1
1529,1
1536,1
1539,1
1541,0
1542,0
1548,0
1550,0
1551,1
1552,1
1557,0
1563,0
1564,1
1565,0
1566,1
1571,0
1578,1
1581,1
1583,0
1584,0
1586,0
1589,1
1592,0
